iter	Passed	Remaining
1015	10256	4885
1016	10268	4876
1017	10280	4867
1018	10293	4858
1019	10305	4849
1020	10318	4840
1021	10329	4831
1022	10343	4823
1023	10357	4814
1024	10369	4805
1025	10382	4796
1026	10395	4787
1027	10407	4778
1028	10419	4769
1029	10430	4759
1030	10441	4749
1031	10453	4740
1032	10465	4731
1033	10478	4722
1034	10489	4712
1035	10500	4702
1036	10512	4693
1037	10525	4684
1038	10537	4675
1039	10549	4666
1040	10561	4656
1041	10573	4647
1042	10585	4638
1043	10597	4628
1044	10610	4619
1045	10622	4610
1046	10634	4601
1047	10646	4591
1048	10657	4582
1049	10669	4572
1050	10681	4563
1051	10693	4554
1052	10705	4544
1053	10717	4535
1054	10729	4525
1055	10741	4516
1056	10753	4507
1057	10766	4497
1058	10778	4488
1059	10791	4479
1060	10803	4470
1061	10817	4461
1062	10829	4452
1063	10843	4443
1064	10855	4433
1065	10867	4424
1066	10880	4415
1067	10892	4406
1068	10906	4397
1069	10919	4388
1070	10933	4379
1071	10945	4369
1072	10957	4360
1073	10970	4351
1074	10982	4341
1075	10993	4331
1076	11005	4322
1077	11018	4313
1078	11030	4303
1079	11042	4294
1080	11054	4284
1081	11066	4275
1082	11078	4265
1083	11089	4255
1084	11101	4246
1085	11113	4236
1086	11125	4226
1087	11136	4217
1088	11149	4208
1089	11161	4198
1090	11172	4188
1091	11184	4178
1092	11196	4169
1093	11208	4159
1094	11219	4149
1095	11231	4140
1096	11243	4130
1097	11254	4120
1098	11266	4110
1099	11278	4101
1100	11290	4091
1101	11302	4081
1102	11315	4072
1103	11329	4063
1104	11341	4054
1105	11354	4044
1106	11368	4035
1107	11381	4026
1108	11394	4017
1109	11407	4007
1110	11419	3998
1111	11431	3988
1112	11444	3979
1113	11455	3969
1114	11467	3959
1115	11480	3950
1116	11492	3940
1117	11505	3931
1118	11517	3921
1119	11529	3911
1120	11541	3901
1121	11553	3892
1122	11565	3882
1123	11578	3873
1124	11589	3863
1125	11601	3853
1126	11614	3843
1127	11626	3834
1128	11638	3824
1129	11649	3814
1130	11659	3804
1131	11671	3794
1132	11682	3784
1133	11694	3774
1134	11707	3764
1135	11718	3754
1136	11729	3744
1137	11741	3735
1138	11754	3725
1139	11765	3715
1140	11777	3705
1141	11788	3695
1142	11800	3685
1143	11811	3675
1144	11823	3665
1145	11835	3655
1146	11847	3646
1147	11859	3636
1148	11871	3626
1149	11884	3616
1150	11896	3607
1151	11908	3597
1152	11920	3587
1153	11932	3577
1154	11944	3567
1155	11956	3557
1156	11968	3548
1157	11980	3538
1158	11991	3528
1159	12002	3518
1160	12014	3508
1161	12027	3498
1162	12039	3488
1163	12051	3478
1164	12062	3468
1165	12074	3458
1166	12086	3448
1167	12097	3438
1168	12109	3428
1169	12120	3418
1170	12132	3408
1171	12144	3398
1172	12156	3388
1173	12167	3378
1174	12179	3368
1175	12190	3358
1176	12201	3348
1177	12213	3338
1178	12225	3328
1179	12236	3318
1180	12248	3308
1181	12260	3298
1182	12271	3288
1183	12284	3278
1184	12296	3268
1185	12308	3258
1186	12320	3248
1187	12333	3239
1188	12345	3229
1189	12357	3219
1190	12369	3209
1191	12382	3199
1192	12394	3189
1193	12406	3179
1194	12417	3169
1195	12429	3159
1196	12440	3149
1197	12451	3138
1198	12463	3128
1199	12474	3118
1200	12485	3108
1201	12496	3098
1202	12508	3088
1203	12520	3078
1204	12531	3067
1205	12542	3057
1206	12554	3047
1207	12565	3037
1208	12577	3027
1209	12588	3017
1210	12599	3006
1211	12611	2996
1212	12622	2986
1213	12634	2976
1214	12645	2966
1215	12657	2956
1216	12669	2946
1217	12681	2936
1218	12692	2925
1219	12705	2915
1220	12717	2905
1221	12728	2895
1222	12740	2885
1223	12751	2875
1224	12762	2864
1225	12773	2854
1226	12784	2844
1227	12796	2834
1228	12807	2824
1229	12820	2814
1230	12831	2803
1231	12842	2793
1232	12854	2783
1233	12865	2773
1234	12876	2762
1235	12888	2752
1236	12898	2742
1237	12910	2732
1238	12921	2721
1239	12932	2711
1240	12936	2699
1241	12947	2689
1242	12958	2679
1243	12969	2669
1244	12981	2658
1245	12992	2648
1246	13003	2638
1247	13014	2627
1248	13026	2617
1249	13037	2607
1250	13050	2597
1251	13061	2587
1252	13073	2577
1253	13083	2566
1254	13095	2556
1255	13106	2546
1256	13118	2535
1257	13129	2525
1258	13140	2515
1259	13152	2505
1260	13163	2494
1261	13174	2484
1262	13185	2474
1263	13188	2462
1264	13199	2452
1265	13212	2442
1266	13225	2432
1267	13237	2421
1268	13248	2411
1269	13259	2401
1270	13271	2391
1271	13283	2381
1272	13296	2370
1273	13308	2360
1274	13320	2350
1275	13332	2340
1276	13344	2330
1277	13355	2319
1278	13366	2309
1279	13378	2299
1280	13390	2289
1281	13401	2278
1282	13412	2268
1283	13422	2258
1284	13433	2247
1285	13444	2237
1286	13455	2226
1287	13467	2216
1288	13478	2206
1289	13490	2196
1290	13502	2185
1291	13513	2175
1292	13523	2165
1293	13536	2154
1294	13549	2144
1295	13561	2134
1296	13572	2124
1297	13584	2114
1298	13596	2103
1299	13607	2093
1300	13618	2083
1301	13629	2072
1302	13640	2062
1303	13652	2052
1304	13663	2041
1305	13675	2031
1306	13686	2021
1307	13698	2010
1308	13709	2000
1309	13721	1990
1310	13733	1979
1311	13743	1969
1312	13755	1959
1313	13766	1948
1314	13777	1938
1315	13790	1928
1316	13803	1917
1317	13815	1907
1318	13826	1897
1319	13837	1886
1320	13848	1876
1321	13859	1866
1322	13870	1855
1323	13881	1845
1324	13892	1834
1325	13903	1824
1326	13915	1814
1327	13926	1803
1328	13937	1793
1329	13948	1782
1330	13960	1772
1331	13972	1762
1332	13978	1751
1333	13989	1740
1334	13999	1730
1335	14010	1719
1336	14021	1709
1337	14032	1699
1338	14043	1688
1339	14055	1678
1340	14066	1667
1341	14077	1657
1342	14089	1647
1343	14102	1636
1344	14114	1626
1345	14125	1616
1346	14136	1605
1347	14148	1595
1348	14159	1584
1349	14170	1574
1350	14181	1564
1351	14192	1553
1352	14204	1543
1353	14216	1532
1354	14228	1522
1355	14239	1512
1356	14250	1501
1357	14262	1491
1358	14274	1481
1359	14287	1470
1360	14299	1460
1361	14310	1449
1362	14322	1439
1363	14334	1429
1364	14346	1418
1365	14357	1408
1366	14368	1397
1367	14379	1387
1368	14389	1376
1369	14401	1366
1370	14411	1355
1371	14421	1345
1372	14432	1335
1373	14444	1324
1374	14455	1314
1375	14466	1303
1376	14477	1293
1377	14487	1282
1378	14499	1272
1379	14510	1261
1380	14522	1251
1381	14534	1240
1382	14545	1230
1383	14556	1220
1384	14567	1209
1385	14579	1199
1386	14591	1188
1387	14602	1178
1388	14613	1167
1389	14625	1157
1390	14636	1146
1391	14647	1136
1392	14659	1126
1393	14670	1115
1394	14682	1105
1395	14694	1094
1396	14705	1084
1397	14717	1073
1398	14728	1063
1399	14740	1052
1400	14751	1042
1401	14763	1031
1402	14773	1021
1403	14784	1010
1404	14796	1000
1405	14807	989
1406	14818	979
1407	14829	968
1408	14841	958
1409	14852	948
1410	14862	937
1411	14874	927
1412	14885	916
1413	14896	906
1414	14907	895
1415	14918	884
1416	14929	874
1417	14941	864
1418	14952	853
1419	14963	843
1420	14974	832
1421	14986	822
1422	14997	811
